zip,city,state
V0N2E0,Lions Bay,BC
V1M2E1,Langley,BC
V1M3E1,Langley,BC
V1M4E1,Langley,BC
V1M2E2,Langley,BC
V1M3E2,Langley,BC
V1M4E2,Langley,BC
V1M2E3,Langley,BC
V1M3E3,Langley,BC
V1M4E3,Langley,BC
V1M1E4,Langley,BC
V1M2E4,Langley,BC
V1M3E4,Langley,BC
V1M4E4,Langley,BC
V1M2E5,Langley,BC
V1M3E5,Langley,BC
V1M4E5,Langley,BC
V1M1E6,Langley,BC
V1M2E6,Langley,BC
V1M3E6,Langley,BC
V1M4E6,Langley,BC
V1M2E7,Langley,BC
V1M3E7,Langley,BC
V1M4E7,Langley,BC
V1M2E8,Langley,BC
V1M3E8,Langley,BC
V1M4E8,Langley,BC
V1M2E9,Langley,BC
V1M3E9,Langley,BC
V1M4E9,Langley,BC
V1M0A1,Langley,BC
V1M0A2,Langley,BC
V1M0A3,Langley,BC
V1M0A4,Langley,BC
V1M0A5,Langley,BC
V1M0A6,Langley,BC
V1M0A7,Langley,BC
V1M0A8,Langley,BC
V1M0A9,Langley,BC
V1M0B1,Langley,BC
V1M0B2,Langley,BC
V1M0B4,Langley,BC
V1M0B5,Langley,BC
V1M0B6,Langley,BC
V1M0B7,Langley,BC
V1M0B8,Langley,BC
V1M0B9,Langley,BC
V1M1A1,Langley,BC
V1M1A7,Langley,BC
V1M1A9,Langley,BC
V1M1B4,Langley,BC
V1M1B5,Langley,BC
V1M1B7,Langley,BC
V1M1B8,Langley,BC
V1M1G2,Langley,BC
V1M1G9,Langley,BC
V1M1H5,Langley,BC
V1M1H8,Langley,BC
V1M1H9,Langley,BC
V1M1K3,Langley,BC
V1M1K9,Langley,BC
V1M1L2,Langley,BC
V1M1L5,Langley,BC
V1M1L8,Langley,BC
V1M1M1,Langley,BC
V1M1M5,Langley,BC
V1M1M6,Langley,BC
V1M1M9,Langley,BC
V1M1N4,Langley,BC
V1M1P2,Langley,BC
V1M1P4,Langley,BC
V1M1P6,Langley,BC
V1M1P8,Langley,BC
V1M1R3,Langley,BC
V1M1R8,Langley,BC
V1M1S2,Langley,BC
V1M1T1,Langley,BC
V1M1T2,Langley,BC
V1M1T3,Langley,BC
V1M1T4,Langley,BC
V1M1T5,Langley,BC
V1M1W2,Langley,BC
V1M1W5,Langley,BC
V1M1X6,Langley,BC
V1M1Y1,Langley,BC
V1M1Y2,Langley,BC
V1M1Y3,Langley,BC
V1M1Y4,Langley,BC
V1M1Y5,Langley,BC
V1M1Y6,Langley,BC
V1M1Y7,Langley,BC
V1M1Y8,Langley,BC
V1M1Y9,Langley,BC
V1M1Z1,Langley,BC
V1M1Z2,Langley,BC
V1M1Z3,Langley,BC
V1M1Z4,Langley,BC
V1M1Z5,Langley,BC
V1M1Z6,Langley,BC
V1M1Z7,Langley,BC
V1M1Z8,Langley,BC
V1M1Z9,Langley,BC
V1M2A1,Langley,BC
V1M2A2,Langley,BC
V1M2A3,Langley,BC
V1M2A4,Langley,BC
V1M2A5,Langley,BC
V1M2A6,Langley,BC
V1M2A7,Langley,BC
V1M2A8,Langley,BC
V1M2A9,Langley,BC
V1M2B1,Langley,BC
V1M2B2,Langley,BC
V1M2B3,Langley,BC
V1M2B4,Langley,BC
V1M2B5,Langley,BC
V1M2B6,Langley,BC
